,Base Score,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,0,AIS,30.689786195755005,"LOF, MinChange = 0.005",0.7773654916512059,0.7773654916512059,0.7272727272727273,0.7272727272727273,0.6159554730983302,0.6159554730983302,0.6057513914656771,0.6057513914656771,0.7644707871564383,0.674199862463242,0.5114641212341614,0.5059937594487832
1,0,SMOTE,0.008006095886230469,NA,0.6549165120593693,0.6549165120593692,0.7003710575139147,0.7003710575139146,0.5333951762523191,0.5333951762523191,0.62430426716141,0.6243042671614101,0.6546536707079771,0.6998542122237652,0.5275349613399974,0.6241877839323593
,Base Score,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,0,AIS,58.84343338012695,"LOF, MinChange = 0.005",0.6576819407008087,0.6576819407008087,0.6239892183288409,0.6239892183288409,0.6239892183288409,0.6239892183288409,0.5619946091644205,0.5619946091644205,0.6164851241966793,0.5243401706480785,0.5243401706480785,0.37438179051255344
1,0,SMOTE,0.004000425338745117,NA,0.610512129380054,0.610512129380054,0.6293800539083558,0.6293800539083558,0.8153638814016173,0.8153638814016173,0.5013477088948787,0.5013477088948787,0.5827715174143585,0.5964856647464198,0.8142928074595301,0.4526055147935819
,Base Score,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,0,AIS,40.329782485961914,"LOF, MinChange = 0.005",0.5024549918166938,0.502454991816694,0.5450081833060556,0.5450081833060556,0.5450081833060556,0.5450081833060556,0.5793780687397708,0.5793780687397709,0.36184651012597,0.37950782149960766,0.37950782149960766,0.5117282421175202
1,0,SMOTE,0.003000974655151367,NA,0.5752864157119476,0.5752864157119476,0.5646481178396073,0.5646481178396072,0.532733224222586,0.532733224222586,0.5540098199672667,0.5540098199672668,0.5427697651889549,0.5351782057853504,0.5117282421175202,0.527477398465546
,Base Score,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,0,AIS,41.271819829940796,"LOF, MinChange = 0.005",0.6771545827633378,0.6771545827633378,0.7058823529411764,0.7058823529411764,0.6538987688098494,0.6538987688098495,0.682626538987688,0.6826265389876881,0.6448788049320706,0.6416889479197478,0.6276789371591298,0.6265882691984643
1,0,SMOTE,0.00311279296875,NA,0.6073871409028728,0.6073871409028728,0.6662106703146374,0.6662106703146375,0.5259917920656634,0.5259917920656635,0.6538987688098494,0.6538987688098495,0.5917813771642473,0.6616316935788493,0.5230657809659415,0.6276789371591298
,Base Score,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,0,AIS,52.12206506729126,"LOF, MinChange = 0.005",0.7727272727272727,0.7727272727272727,0.6909090909090909,0.6909090909090909,0.5181818181818182,0.5181818181818182,0.5,0.5,0.7531750973530175,0.6266795614405123,0.4089898865164361,0.0
1,0,SMOTE,0.006382465362548828,NA,0.6,0.6000000000000001,0.5272727272727272,0.5272727272727272,0.4545454545454546,0.4545454545454546,0.6272727272727272,0.6272727272727272,0.5656854249492381,0.4134115273055299,0.37658754867650873,0.5846521887568555
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,26.2007098197937,"LOF, MinChange = 0.005",0.7421150278293135,0.7421150278293136,0.7170686456400742,0.7170686456400742,0.5955473098330241,0.5955473098330242,0.6159554730983302,0.6159554730983302,0.7155832370886187,0.6672848092813054,0.500463606960979,0.5114641212341614
1,SMOTE,0.005967140197753906,NA,0.6595547309833024,0.6595547309833024,0.6549165120593693,0.6549165120593692,0.5538033395176253,0.5538033395176252,0.5992578849721707,0.5992578849721706,0.656069139756628,0.6546536707079771,0.5448357652831955,0.5968376775623926
2,BASE,NA,NA,0.6716141001855288,0.6716141001855287,0.6966604823747681,0.6966604823747681,0.5909090909090909,0.5909090909090909,0.6261595547309833,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,41.40697717666626,"LOF, MinChange = 0.005",0.6482479784366577,0.6482479784366577,0.61455525606469,0.6145552560646901,0.6954177897574124,0.6954177897574124,0.5619946091644205,0.5619946091644205,0.6098915108332981,0.519174131651165,0.6421829348658247,0.37438179051255344
1,SMOTE,0.00616145133972168,NA,0.5727762803234502,0.5727762803234501,0.5822102425876011,0.582210242587601,0.8436657681940702,0.84366576819407,0.4730458221024259,0.47304582210242585,0.5543262830069895,0.5615726857688301,0.8435581168455182,0.43437224276306935
2,BASE,NA,NA,0.6765498652291105,0.6765498652291105,0.6859838274932615,0.6859838274932615,0.5,0.5,0.5336927223719676,0.5336927223719676,0.6294651817966896,0.635855855098946,0.0,0.3634218921558155
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,49.11928582191467,"LOF, MinChange = 0.005",0.5343698854337151,0.5343698854337152,0.5556464811783961,0.5556464811783961,0.5450081833060556,0.5450081833060556,0.5237315875613747,0.5237315875613748,0.3751704468066741,0.3837961815881402,0.37950782149960766,0.37078233740951155
1,SMOTE,0.002998828887939453,NA,0.5924713584288053,0.5924713584288053,0.5646481178396073,0.5646481178396072,0.532733224222586,0.532733224222586,0.560556464811784,0.560556464811784,0.5778225394274409,0.5351782057853504,0.5117282421175202,0.5517417740846248
2,BASE,NA,NA,0.5450081833060556,0.5450081833060556,0.5941080196399346,0.5941080196399345,0.5384615384615384,0.5384615384615384,0.5662847790507364,0.5662847790507365,0.37950782149960766,0.4700524050597497,0.2773500981126146,0.38803715211806106
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,37.50738215446472,"LOF, MinChange = 0.005",0.6771545827633378,0.6771545827633378,0.7058823529411764,0.7058823529411764,0.6655266757865937,0.6655266757865936,0.6532147742818059,0.6532147742818057,0.6448788049320706,0.6416889479197478,0.6363369866681609,0.5801080139056326
1,SMOTE,0.003010272979736328,NA,0.6833105335157318,0.6833105335157319,0.6600547195622435,0.6600547195622435,0.5259917920656634,0.5259917920656635,0.6306429548563612,0.6306429548563611,0.6657540493097782,0.6469966392206304,0.5230657809659415,0.6099942813304187
2,BASE,NA,NA,0.66484268125855,0.66484268125855,0.7120383036935706,0.7120383036935705,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.5871398829359686,0.6698510359749523,0.3429971702850177,0.48507125007266594
