Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\hcv_data_split.csv,AIS,126.59037661552429,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.9906542056074766,0.892231308411215,0.8656542056074766,0.7140771028037384,0.9906542056074766,0.892231308411215,0.8656542056074766,0.7140771028037383,0.9906101206907555,0.8886617051320622,0.8578935297641631,0.6583397412835345,0.9411764705882353,0.8125,0.7999999999999999,0.5833333333333334
1,Data\hcv_data_split.csv,SMOTE,0.004500865936279297,NA,0.9953271028037383,1.0,0.9188084112149533,0.8703271028037383,0.9953271028037383,1.0,0.9188084112149533,0.8703271028037383,0.9953161335010483,1.0,0.9177634333673184,0.8619690564084116,0.9696969696969697,1.0,0.823529411764706,0.8275862068965517
1,Data\hcv_data_split.csv,BASE,NA,NA,1.0,0.9015771028037383,0.9015771028037383,0.6515771028037383,1.0,0.9015771028037383,0.9015771028037383,0.6515771028037383,1.0,0.8971658386586477,0.8971658386586477,0.55639863340265,1.0,0.8666666666666666,0.8666666666666666,0.45454545454545453
,,,,,,,,,,,,,,,,,,,,
2,Data\hcv_data_split.csv,AIS,67.46715974807739,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.9278761061946902,0.8880530973451327,0.845575221238938,0.8,0.9278761061946903,0.8880530973451328,0.845575221238938,0.8,0.9274572718731805,0.8879727333771229,0.8329497642322214,0.7745966692414834,0.75,0.5454545454545454,0.7777777777777777,0.7499999999999999
2,Data\hcv_data_split.csv,SMOTE,0.0050008296966552734,NA,0.9278761061946902,0.945575221238938,0.9057522123893804,0.941150442477876,0.9278761061946903,0.9455752212389381,0.9057522123893805,0.941150442477876,0.9274572718731805,0.9444762560435749,0.9057339467530655,0.9402503903004651,0.75,0.9,0.6206896551724138,0.8571428571428572
2,Data\hcv_data_split.csv,BASE,NA,NA,0.95,0.9,0.891150442477876,0.85,0.95,0.9,0.8911504424778761,0.85,0.9486832980505138,0.8944271909999159,0.8864765693263426,0.8366600265340756,0.9473684210526316,0.888888888888889,0.8000000000000002,0.8235294117647058
,,,,,,,,,,,,,,,,,,,,
3,Data\hcv_data_split.csv,AIS,63.14841341972351,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.898723640399556,0.8257491675915649,0.7610987791342954,0.7211431742508324,0.898723640399556,0.8257491675915649,0.7610987791342952,0.7211431742508324,0.8985745278049995,0.8234897723138025,0.741208180707427,0.6762171990810079,0.7317073170731708,0.6190476190476191,0.5882352941176471,0.5714285714285714
3,Data\hcv_data_split.csv,SMOTE,0.00550079345703125,NA,0.9375693673695894,0.9128745837957825,0.9433962264150944,0.8634850166481687,0.9375693673695893,0.9128745837957825,0.9433962264150944,0.8634850166481687,0.9375624285540575,0.9123642008935587,0.9416965821485117,0.8578164469184381,0.7999999999999999,0.7894736842105262,0.7391304347826086,0.7647058823529412
3,Data\hcv_data_split.csv,BASE,NA,NA,0.908157602663707,0.8834628190899001,0.8587680355160932,0.7647058823529411,0.908157602663707,0.8834628190899001,0.8587680355160932,0.7647058823529411,0.9077909179549114,0.8814275576589751,0.8536011071727131,0.7276068751089989,0.7692307692307693,0.7567567567567567,0.7428571428571428,0.6923076923076924
,,,,,,,,,,,,,,,,,,,,
4,Data\hcv_data_split.csv,AIS,68.42482566833496,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.8493340732519422,0.7799667036625971,0.7846836847946727,0.701165371809101,0.8493340732519423,0.7799667036625971,0.7846836847946725,0.701165371809101,0.8451073525250492,0.7560338123498209,0.7596950144520838,0.6386549406254911,0.7027027027027027,0.6666666666666667,0.6896551724137931,0.56
4,Data\hcv_data_split.csv,SMOTE,0.005000114440917969,NA,0.8976137624861266,0.8587680355160932,0.8104883462819091,0.8435072142064374,0.8976137624861265,0.8587680355160932,0.810488346281909,0.8435072142064373,0.8945512705165009,0.8536011071727131,0.8037094908087015,0.8322041924792389,0.8235294117647058,0.7428571428571428,0.6315789473684211,0.7741935483870968
4,Data\hcv_data_split.csv,BASE,NA,NA,0.8010543840177581,0.8482241953385129,0.7846836847946727,0.7305771365149835,0.8010543840177581,0.8482241953385128,0.7846836847946725,0.7305771365149833,0.7953806702798529,0.836195602392526,0.7596950144520838,0.6827508503402977,0.6,0.8000000000000002,0.6896551724137931,0.6153846153846153
,,,,,,,,,,,,,,,,,,,,
5,Data\hcv_data_split.csv,AIS,65.77136659622192,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.9194444444444445,0.8675925925925926,0.8194444444444444,0.8,0.9194444444444445,0.8675925925925927,0.8194444444444444,0.8,0.9179284245476836,0.8649555758234918,0.8050764858994133,0.7745966692414834,0.8387096774193549,0.7058823529411765,0.7142857142857142,0.7499999999999999
5,Data\hcv_data_split.csv,SMOTE,0.005000591278076172,NA,0.9148148148148149,0.9101851851851852,0.9388888888888889,0.9527777777777777,0.9148148148148147,0.9101851851851852,0.9388888888888889,0.9527777777777777,0.9135468796041984,0.9091442184145172,0.9388724521901158,0.9525793444156804,0.8125,0.7878787878787877,0.8,0.8749999999999999
5,Data\hcv_data_split.csv,BASE,NA,NA,0.9287037037037037,0.9666666666666667,0.8907407407407408,0.8666666666666667,0.9287037037037037,0.9666666666666667,0.8907407407407408,0.8666666666666667,0.926629362425259,0.9660917830792959,0.8861067572167505,0.8563488385776752,0.896551724137931,0.9655172413793104,0.8275862068965518,0.846153846153846
,,,,,,,,,,,,,,,,,,,,
,,AIS,,AVERAGE:,0.9172064939796218,0.8507185739206203,0.8152912670439655,0.7472771297727343,0.9172064939796218,0.8507185739206206,0.8152912670439655,0.7472771297727343,0.9159355394883336,0.8442227197992601,0.7993645950110617,0.7044810438946001,0.7928592335566927,0.6699102368220016,0.7139907917189865,0.6429523809523809
,,SMOTE,,AVERAGE:,0.9346402307337918,0.9254806051471999,0.9034668170380453,0.8942495107827997,0.9346402307337918,0.9254806051471999,0.9034668170380453,0.8942495107827997,0.9336867968097972,0.9239171565048728,0.9015551810535426,0.8889638861044468,0.831145276292335,0.8440419229892914,0.7229856898176299,0.8197256989558893
,,BASE,,AVERAGE:,0.9175831380770336,0.8999861567797636,0.8653840012666242,0.7727053576676659,0.9175831380770336,0.8999861567797636,0.8907407407407408,0.7727053576676659,0.9156968497421074,0.8950615945578722,0.8566090573653075,0.7319530447927395,0.8426301828842664,0.8555659107383246,0.7853530377668309,0.6863842040312628
,,,,,,,,,,,,,,,,,,,,
Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\hcv_data_split.csv,AIS,33.71532440185547,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.9281542056074766,0.8609813084112149,0.4521028037383178,0.7140771028037384,0.9281542056074766,0.860981308411215,0.45210280373831774,0.7140771028037383,0.9266309188738978,0.853798549200467,0.40441488828820193,0.6583397412835345,0.875,0.7741935483870969,0.14035087719298248,0.5833333333333334
1,Data\hcv_data_split.csv,SMOTE,0.005003452301025391,NA,0.9953271028037383,0.96875,0.9188084112149533,0.8703271028037383,0.9953271028037383,0.96875,0.9188084112149533,0.8703271028037383,0.9953161335010483,0.9682458365518543,0.9177634333673184,0.8619690564084116,0.9696969696969697,0.967741935483871,0.823529411764706,0.8275862068965517
1,Data\hcv_data_split.csv,BASE,NA,NA,1.0,0.8969042056074766,0.9015771028037383,0.6515771028037383,1.0,0.8969042056074766,0.9015771028037383,0.6515771028037383,1.0,0.8929238960360225,0.8971658386586477,0.55639863340265,1.0,0.8387096774193549,0.8666666666666666,0.45454545454545453
,,,,,,,,,,,,,,,,,,,,
2,Data\hcv_data_split.csv,AIS,50.416712522506714,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.95,0.9,0.4008849557522124,0.945575221238938,0.95,0.9,0.4008849557522124,0.9455752212389381,0.9486832980505138,0.8944271909999159,0.34692071471862984,0.9444762560435749,0.9473684210526316,0.888888888888889,0.07017543859649122,0.9
2,Data\hcv_data_split.csv,SMOTE,0.005501270294189453,NA,0.9190265486725664,0.945575221238938,0.9101769911504425,0.945575221238938,0.9190265486725664,0.9455752212389381,0.9101769911504425,0.9455752212389381,0.9188295748454223,0.9444762560435749,0.9101200932134157,0.9444762560435749,0.6923076923076923,0.9,0.6428571428571429,0.9
2,Data\hcv_data_split.csv,BASE,NA,NA,0.95,0.95,0.891150442477876,0.85,0.95,0.95,0.8911504424778761,0.85,0.9486832980505138,0.9486832980505138,0.8864765693263426,0.8366600265340756,0.9473684210526316,0.9473684210526316,0.8000000000000002,0.8235294117647058
,,,,,,,,,,,,,,,,,,,,
3,Data\hcv_data_split.csv,AIS,16.73289203643799,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.9034406215316315,0.83157602663707,0.7716426193118757,0.7211431742508324,0.9034406215316315,0.83157602663707,0.7716426193118757,0.7211431742508324,0.9031944787091534,0.8315370948229506,0.7615190147113371,0.6762171990810079,0.75,0.5833333333333333,0.5641025641025642,0.5714285714285714
3,Data\hcv_data_split.csv,SMOTE,0.005001068115234375,NA,0.9375693673695894,0.9470033296337403,0.9433962264150944,0.8881798002219756,0.9375693673695893,0.9470033296337403,0.9433962264150944,0.8881798002219756,0.9375624285540575,0.9469854032935536,0.9416965821485117,0.8858237323501061,0.7999999999999999,0.8421052631578947,0.7391304347826086,0.7777777777777778
3,Data\hcv_data_split.csv,BASE,NA,NA,0.908157602663707,0.8834628190899001,0.8587680355160932,0.7647058823529411,0.908157602663707,0.8834628190899001,0.8587680355160932,0.7647058823529411,0.9077909179549114,0.8814275576589751,0.8536011071727131,0.7276068751089989,0.7692307692307693,0.7567567567567567,0.7428571428571428,0.6923076923076924
,,,,,,,,,,,,,,,,,,,,
4,Data\hcv_data_split.csv,AIS,16.9569308757782,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.8634850166481687,0.8435072142064374,0.7799667036625971,0.612930077691454,0.8634850166481687,0.8435072142064373,0.7799667036625971,0.6129300776914539,0.8578164469184381,0.8322041924792389,0.7560338123498209,0.48277775613650614,0.7647058823529412,0.7741935483870968,0.6666666666666667,0.3636363636363636
4,Data\hcv_data_split.csv,SMOTE,0.004896879196166992,NA,0.902330743618202,0.9070477247502775,0.8104883462819091,0.8140954495005549,0.902330743618202,0.9070477247502775,0.810488346281909,0.814095449500555,0.8988832632643088,0.9031944787091534,0.8037094908087015,0.7967748530680967,0.8484848484848485,0.8749999999999999,0.6315789473684211,0.7333333333333334
4,Data\hcv_data_split.csv,BASE,NA,NA,0.8010543840177581,0.8435072142064374,0.7846836847946727,0.7305771365149835,0.8010543840177581,0.8435072142064373,0.7846836847946725,0.7305771365149833,0.7953806702798529,0.8322041924792389,0.7596950144520838,0.6827508503402977,0.6,0.7741935483870968,0.6896551724137931,0.6153846153846153
,,,,,,,,,,,,,,,,,,,,
5,Data\hcv_data_split.csv,AIS,16.990935564041138,"max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.9287037037037037,0.8722222222222222,0.7953703703703704,0.8,0.9287037037037037,0.8722222222222222,0.7953703703703703,0.8,0.926629362425259,0.8692269873603532,0.7710022337480251,0.7745966692414834,0.896551724137931,0.7272727272727272,0.7200000000000001,0.7499999999999999
5,Data\hcv_data_split.csv,SMOTE,0.0050013065338134766,NA,0.8768518518518519,0.8907407407407408,0.9388888888888889,0.9574074074074075,0.8768518518518519,0.8907407407407408,0.9388888888888889,0.9574074074074075,0.8734775114237132,0.8861067572167505,0.9388724521901158,0.9571046874381346,0.7500000000000001,0.8275862068965518,0.8,0.9032258064516129
5,Data\hcv_data_split.csv,BASE,NA,NA,0.9287037037037037,0.9333333333333333,0.8907407407407408,0.8666666666666667,0.9287037037037037,0.9333333333333333,0.8907407407407408,0.8666666666666667,0.926629362425259,0.9309493362512627,0.8861067572167505,0.8563488385776752,0.896551724137931,0.9285714285714286,0.8275862068965518,0.846153846153846
,,,,,,,,,,,,,,,,,,,,
,,AIS,,AVERAGE:,0.9147567094981962,0.8616573542953889,0.6399934905670748,0.7587451151969926,0.9147567094981962,0.8616573542953889,0.6399934905670748,0.7587451151969924,0.9125909009954525,0.856238802972585,0.607978132763203,0.7072815243572215,0.8467252055087009,0.7495764092538286,0.432259109311741,0.6336796536796536
,,SMOTE,,AVERAGE:,0.9262211228631895,0.9318234032727393,0.9043517727902577,0.8951169962345228,0.9262211228631895,0.9318234032727393,0.9043517727902577,0.8951169962345229,0.9248137823177099,0.9298017463629773,0.9024324103456125,0.8892297170616648,0.8120979020979021,0.8824866811076635,0.7274191873545757,0.8283846248918552
,,BASE,,AVERAGE:,0.9175831380770336,0.9014415144474295,0.8653840012666242,0.7727053576676659,0.9175831380770336,0.9014415144474295,0.8907407407407408,0.7727053576676659,0.9156968497421074,0.8972376560952025,0.8566090573653075,0.7319530447927395,0.8426301828842664,0.8491199664374538,0.7853530377668309,0.6863842040312628
,,,,,,,,,,,,,,,,,,,,
Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\hcv_data_split.csv,AIS,1.6202797889709473,"max_rounds = 100, stopping_cond = 30, model = logisticRegression,K_folds = 5,scorer = 'f1',min_change = 0.001, use_lof = False",0.9953271028037383,0.923481308411215,0.9281542056074766,0.7140771028037384,0.9953271028037383,0.923481308411215,0.9281542056074766,0.7140771028037383,0.9953161335010483,0.9222078343408422,0.9266309188738978,0.6583397412835345,0.9696969696969697,0.8484848484848485,0.875,0.5833333333333334
1,Data\hcv_data_split.csv,SMOTE,0.004500627517700195,NA,0.9953271028037383,0.9375,0.9188084112149533,0.8703271028037383,0.9953271028037383,0.9375,0.9188084112149533,0.8703271028037383,0.9953161335010483,0.9354143466934853,0.9177634333673184,0.8619690564084116,0.9696969696969697,0.9333333333333333,0.823529411764706,0.8275862068965517
1,Data\hcv_data_split.csv,BASE,NA,NA,1.0,0.892231308411215,0.9015771028037383,0.6515771028037383,1.0,0.892231308411215,0.9015771028037383,0.6515771028037383,1.0,0.8886617051320622,0.8971658386586477,0.55639863340265,1.0,0.8125,0.8666666666666666,0.45454545454545453
,,,,,,,,,,,,,,,,,,,,
2,Data\hcv_data_split.csv,AIS,1.4392492771148682,"max_rounds = 100, stopping_cond = 30, model = logisticRegression,K_folds = 5,scorer = 'f1',min_change = 0.001, use_lof = False",0.8703539823008849,0.865929203539823,0.8867256637168142,0.8,0.870353982300885,0.865929203539823,0.8867256637168142,0.8,0.8698489340923473,0.8652586702089043,0.8824743973322414,0.7745966692414834,0.48648648648648646,0.4736842105263158,0.761904761904762,0.7499999999999999
2,Data\hcv_data_split.csv,SMOTE,0.00550079345703125,NA,0.9367256637168141,0.941150442477876,0.9146017699115044,0.941150442477876,0.9367256637168142,0.941150442477876,0.9146017699115044,0.941150442477876,0.9360054458657094,0.9402503903004651,0.9144852026362744,0.9402503903004651,0.8181818181818182,0.8571428571428572,0.6666666666666667,0.8571428571428572
2,Data\hcv_data_split.csv,BASE,NA,NA,0.95,0.95,0.891150442477876,0.85,0.95,0.95,0.8911504424778761,0.85,0.9486832980505138,0.9486832980505138,0.8864765693263426,0.8366600265340756,0.9473684210526316,0.9473684210526316,0.8000000000000002,0.8235294117647058
,,,,,,,,,,,,,,,,,,,,
3,Data\hcv_data_split.csv,AIS,1.9473369121551514,"max_rounds = 100, stopping_cond = 30, model = logisticRegression,K_folds = 5,scorer = 'f1',min_change = 0.001, use_lof = False",0.8903995560488347,0.8551609322974473,0.7905105438401776,0.7211431742508324,0.8903995560488347,0.8551609322974473,0.7905105438401776,0.7211431742508324,0.8889505466345247,0.8545757234070167,0.7773856982620502,0.6762171990810079,0.64,0.6511627906976744,0.6285714285714287,0.5714285714285714
3,Data\hcv_data_split.csv,SMOTE,0.0050008296966552734,NA,0.9375693673695894,0.9470033296337403,0.9481132075471699,0.9223085460599334,0.9375693673695893,0.9470033296337403,0.9481132075471699,0.9223085460599334,0.9375624285540575,0.9469854032935536,0.946692355041668,0.9214426752509268,0.7999999999999999,0.8421052631578947,0.7555555555555554,0.8333333333333333
3,Data\hcv_data_split.csv,BASE,NA,NA,0.908157602663707,0.8787458379578246,0.8587680355160932,0.7647058823529411,0.908157602663707,0.8787458379578246,0.8587680355160932,0.7647058823529411,0.9077909179549114,0.8770093465902512,0.8536011071727131,0.7276068751089989,0.7692307692307693,0.7368421052631577,0.7428571428571428,0.6923076923076924
,,,,,,,,,,,,,,,,,,,,
4,Data\hcv_data_split.csv,AIS,1.864820957183838,"max_rounds = 100, stopping_cond = 30, model = logisticRegression,K_folds = 5,scorer = 'f1',min_change = 0.001, use_lof = False",0.8493340732519422,0.8293562708102109,0.7894006659267482,0.701165371809101,0.8493340732519423,0.8293562708102109,0.7894006659267481,0.701165371809101,0.8451073525250492,0.8201134162652693,0.7633386565283455,0.6386549406254911,0.7027027027027027,0.7058823529411765,0.7142857142857143,0.56
4,Data\hcv_data_split.csv,SMOTE,0.005501985549926758,NA,0.8693118756936736,0.8976137624861266,0.8152053274139845,0.8435072142064374,0.8693118756936737,0.8976137624861265,0.8152053274139845,0.8435072142064373,0.8681054677967682,0.8945512705165009,0.8078417005184614,0.8322041924792389,0.7,0.8235294117647058,0.6486486486486486,0.7741935483870968
4,Data\hcv_data_split.csv,BASE,NA,NA,0.8104883462819091,0.8482241953385129,0.7846836847946727,0.7305771365149835,0.810488346281909,0.8482241953385128,0.7846836847946725,0.7305771365149833,0.8037094908087015,0.836195602392526,0.7596950144520838,0.6827508503402977,0.6315789473684211,0.8000000000000002,0.6896551724137931,0.6153846153846153
,,,,,,,,,,,,,,,,,,,,
