Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\GeneratedSyntheticData-testing.csv,AIS,95.7295036315918,"MinChange = 0.005, LOF=True",0.7875695732838589,0.7170686456400742,0.6057513914656771,0.6057513914656771,0.787569573283859,0.7170686456400742,0.6057513914656771,0.6057513914656771,0.772918234616442,0.6672848092813054,0.5059937594487832,0.5059937594487832,0.6666666666666666,0.5882352941176471,0.3529411764705882,0.3529411764705882
1,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.004500389099121094,NA,0.7662337662337664,0.7411873840445269,0.5231910946196661,0.6595547309833024,0.7662337662337663,0.7411873840445269,0.5231910946196661,0.6595547309833024,0.7644707871564383,0.7410567593603692,0.5186681960445677,0.656069139756628,0.5294117647058824,0.5161290322580645,0.2777777777777778,0.4102564102564102
1,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6716141001855288,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.6716141001855287,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377,0.5000000000000001,0.5263157894736842,0.3076923076923077,0.39999999999999997
,,,,,,,,,,,,,,,,,,,,
2,Data\GeneratedSyntheticData-testing.csv,AIS,211.54146885871887,"MinChange = 0.005, LOF=True",0.5956873315363881,0.61455525606469,0.6334231805929919,0.5619946091644205,0.5956873315363882,0.6145552560646901,0.633423180592992,0.5619946091644205,0.5086846840791568,0.519174131651165,0.529455805648376,0.37438179051255344,0.2857142857142857,0.3333333333333333,0.4,0.22222222222222224
2,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.003000497817993164,NA,0.6159029649595688,0.601078167115903,0.8247978436657682,0.5107816711590296,0.6159029649595686,0.601078167115903,0.8247978436657681,0.5107816711590296,0.6142951168339512,0.5757919660260654,0.8241633836921342,0.45852217787265004,0.27586206896551724,0.27272727272727276,0.5,0.17391304347826086
2,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6294651817966896,0.6294651817966896,0.0,0.3634218921558155,0.42857142857142855,0.42857142857142855,0.0,0.16666666666666666
,,,,,,,,,,,,,,,,,,,,
3,Data\GeneratedSyntheticData-testing.csv,AIS,173.72644996643066,"MinChange = 0.005, LOF=True",0.5237315875613747,0.5662847790507364,0.5450081833060556,0.527823240589198,0.5237315875613748,0.5662847790507365,0.5450081833060556,0.527823240589198,0.37078233740951155,0.38803715211806106,0.37950782149960766,0.27438370161499687,0.2,0.25,0.2222222222222222,0.13333333333333336
3,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.003000497817993164,NA,0.6031096563011458,0.5818330605564649,0.5671031096563011,0.6096563011456628,0.6031096563011457,0.5818330605564648,0.5671031096563011,0.6096563011456628,0.5862583511875564,0.5692617322494116,0.5663793758439144,0.6054850215265134,0.3870967741935484,0.3636363636363637,0.3589743589743589,0.39999999999999997
3,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.5450081833060556,0.5556464811783961,0.5384615384615384,0.5662847790507364,0.5450081833060556,0.5556464811783961,0.5384615384615384,0.5662847790507365,0.37950782149960766,0.3837961815881402,0.2773500981126146,0.38803715211806106,0.2222222222222222,0.23529411764705882,0.14285714285714288,0.25
,,,,,,,,,,,,,,,,,,,,
4,Data\GeneratedSyntheticData-testing.csv,AIS,130.52700328826904,"MinChange = 0.005, LOF=True",0.6709986320109438,0.7058823529411764,0.66484268125855,0.5766073871409029,0.6709986320109439,0.7058823529411764,0.66484268125855,0.5766073871409029,0.6188997784007636,0.6416889479197478,0.5871398829359686,0.41517059272909906,0.5185185185185185,0.5833333333333334,0.5,0.2857142857142857
4,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0030002593994140625,NA,0.7482900136798906,0.7188782489740082,0.5027359781121752,0.6135430916552668,0.7482900136798906,0.7188782489740082,0.5027359781121751,0.6135430916552668,0.7470873676376284,0.7152816976385906,0.5017070722245297,0.6077475175956204,0.6315789473684211,0.5945945945945946,0.35555555555555557,0.46153846153846156
4,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.66484268125855,0.7004103967168263,0.5588235294117647,0.6176470588235294,0.66484268125855,0.7004103967168263,0.5588235294117647,0.6176470588235294,0.5871398829359686,0.6616316935788493,0.3429971702850177,0.48507125007266594,0.5,0.5714285714285714,0.21052631578947367,0.38095238095238093
,,,,,,,,,,,,,,,,,,,,
