Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\hcv_data_split.csv,AIS,61.45020294189453,"max_rounds = 100, stopping_cond = 20, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.8969042056074766,0.923481308411215,0.6781542056074766,0.7453271028037384,0.8969042056074766,0.923481308411215,0.6781542056074766,0.7453271028037383,0.8929238960360225,0.9222078343408422,0.606622332432303,0.7037947874229663,0.8387096774193549,0.8484848484848485,0.5,0.64
1,Data\hcv_data_split.csv,SMOTE,0.007502079010009766,NA,0.9953271028037383,1.0,0.9188084112149533,0.8703271028037383,0.9953271028037383,1.0,0.9188084112149533,0.8703271028037383,0.9953161335010483,1.0,0.9177634333673184,0.8619690564084116,0.9696969696969697,1.0,0.823529411764706,0.8275862068965517
1,Data\hcv_data_split.csv,BASE,NA,NA,1.0,0.8969042056074766,0.9015771028037383,0.6515771028037383,1.0,0.8969042056074766,0.9015771028037383,0.6515771028037383,1.0,0.8929238960360225,0.8971658386586477,0.55639863340265,1.0,0.8387096774193549,0.8666666666666666,0.45454545454545453
,,,,,,,,,,,,,,,,,,,,
2,Data\hcv_data_split.csv,AIS,56.056763648986816,"max_rounds = 100, stopping_cond = 20, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.9367256637168141,0.9190265486725664,0.7955752212389381,0.945575221238938,0.9367256637168142,0.9190265486725664,0.795575221238938,0.9455752212389381,0.9360054458657094,0.9188295748454223,0.7711616338269984,0.9444762560435749,0.8181818181818182,0.6923076923076923,0.7058823529411764,0.9
2,Data\hcv_data_split.csv,SMOTE,0.004001140594482422,NA,0.9367256637168141,0.941150442477876,0.9101769911504425,0.941150442477876,0.9367256637168142,0.941150442477876,0.9101769911504425,0.941150442477876,0.9360054458657094,0.9402503903004651,0.9101200932134157,0.9402503903004651,0.8181818181818182,0.8571428571428572,0.6428571428571429,0.8571428571428572
2,Data\hcv_data_split.csv,BASE,NA,NA,0.95,0.9,0.891150442477876,0.85,0.95,0.9,0.8911504424778761,0.85,0.9486832980505138,0.8944271909999159,0.8864765693263426,0.8366600265340756,0.9473684210526316,0.888888888888889,0.8000000000000002,0.8235294117647058
,,,,,,,,,,,,,,,,,,,,
3,Data\hcv_data_split.csv,AIS,39.00979399681091,"max_rounds = 100, stopping_cond = 20, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.8021642619311876,0.739733629300777,0.716426193118757,0.7999445061043284,0.8021642619311875,0.739733629300777,0.716426193118757,0.7999445061043285,0.8012891943106302,0.7389586817998184,0.6729265849104531,0.7851988161670265,0.5531914893617021,0.45283018867924524,0.5517241379310345,0.6666666666666667
3,Data\hcv_data_split.csv,SMOTE,0.004001140594482422,NA,0.9375693673695894,0.917591564927858,0.9433962264150944,0.9223085460599334,0.9375693673695893,0.9175915649278579,0.9433962264150944,0.9223085460599334,0.9375624285540575,0.9169146740143619,0.9416965821485117,0.9214426752509268,0.7999999999999999,0.8108108108108107,0.7391304347826086,0.8333333333333333
