Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\hcv_data_split.csv,AIS,232.22818660736084," max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.9594042056074766,0.892231308411215,0.5890771028037383,0.6875,0.9594042056074766,0.892231308411215,0.5890771028037383,0.6875,0.9591541250049539,0.8886617051320622,0.4309845282042058,0.6123724356957945,0.9090909090909091,0.8125,0.3,0.5454545454545454
1,Data\hcv_data_split.csv,SMOTE,0.004001617431640625,NA,0.9953271028037383,1.0,0.9188084112149533,0.8703271028037383,0.9953271028037383,1.0,0.9188084112149533,0.8703271028037383,0.9953161335010483,1.0,0.9177634333673184,0.8619690564084116,0.9696969696969697,1.0,0.823529411764706,0.8275862068965517
1,Data\hcv_data_split.csv,BASE,NA,NA,1.0,0.8656542056074766,0.9015771028037383,0.6515771028037383,1.0,0.8656542056074766,0.9015771028037383,0.6515771028037383,1.0,0.8578935297641631,0.8971658386586477,0.55639863340265,1.0,0.7999999999999999,0.8666666666666666,0.45454545454545453
,,,,,,,,,,,,,,,,,,,,
2,Data\hcv_data_split.csv,AIS,217.46660137176514," max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.9190265486725664,0.8792035398230089,0.75,0.945575221238938,0.9190265486725664,0.8792035398230089,0.75,0.9455752212389381,0.9188295748454223,0.8789575482817221,0.7071067811865476,0.9444762560435749,0.6923076923076923,0.5142857142857143,0.6666666666666666,0.9
2,Data\hcv_data_split.csv,SMOTE,0.004000663757324219,NA,0.9234513274336283,0.941150442477876,0.9101769911504425,0.941150442477876,0.9234513274336283,0.941150442477876,0.9101769911504425,0.941150442477876,0.9231535026096858,0.9402503903004651,0.9101200932134157,0.9402503903004651,0.7200000000000001,0.8571428571428572,0.6428571428571429,0.8571428571428572
2,Data\hcv_data_split.csv,BASE,NA,NA,0.95,0.9,0.891150442477876,0.85,0.95,0.9,0.8911504424778761,0.85,0.9486832980505138,0.8944271909999159,0.8864765693263426,0.8366600265340756,0.9473684210526316,0.888888888888889,0.8000000000000002,0.8235294117647058
,,,,,,,,,,,,,,,,,,,,
3,Data\hcv_data_split.csv,AIS,202.041898727417," max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.8410099889012209,0.818534961154273,0.6082130965593785,0.7999445061043284,0.8410099889012208,0.818534961154273,0.6082130965593785,0.7999445061043285,0.8408283004600915,0.8160433493741087,0.48047331454862374,0.7851988161670265,0.608695652173913,0.5172413793103449,0.3478260869565218,0.6666666666666667
3,Data\hcv_data_split.csv,SMOTE,0.003500699996948242,NA,0.9375693673695894,0.9128745837957825,0.9433962264150944,0.892896781354051,0.9375693673695893,0.9128745837957825,0.9433962264150944,0.892896781354051,0.9375624285540575,0.9123642008935587,0.9416965821485117,0.8901981971385244,0.7999999999999999,0.7894736842105262,0.7391304347826086,0.7999999999999999
