Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\GeneratedSyntheticData-testing.csv,AIS,126.24511861801147,"max_rounds = 100, stopping_cond = 20, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.7875695732838589,0.7272727272727273,0.6159554730983302,0.6057513914656771,0.787569573283859,0.7272727272727273,0.6159554730983302,0.6057513914656771,0.772918234616442,0.674199862463242,0.5114641212341614,0.5059937594487832,0.6666666666666666,0.625,0.37499999999999994,0.3529411764705882
1,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.00800180435180664,NA,0.7662337662337664,0.7411873840445269,0.5231910946196661,0.6595547309833024,0.7662337662337663,0.7411873840445269,0.5231910946196661,0.6595547309833024,0.7644707871564383,0.7410567593603692,0.5186681960445677,0.656069139756628,0.5294117647058824,0.5161290322580645,0.2777777777777778,0.4102564102564102
1,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6716141001855288,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.6716141001855287,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377,0.5000000000000001,0.5263157894736842,0.3076923076923077,0.39999999999999997
,,,,,,,,,,,,,,,,,,,,
2,Data\GeneratedSyntheticData-testing.csv,AIS,147.47183775901794,"max_rounds = 100, stopping_cond = 20, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.6576819407008087,0.61455525606469,0.5714285714285714,0.6239892183288409,0.6576819407008087,0.6145552560646901,0.5714285714285714,0.6239892183288409,0.6164851241966793,0.519174131651165,0.3779644730092272,0.5243401706480785,0.375,0.3333333333333333,0.25,0.36363636363636365
2,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.003000497817993164,NA,0.6725067385444744,0.6199460916442049,0.7533692722371969,0.4730458221024259,0.6725067385444744,0.6199460916442049,0.7533692722371967,0.47304582210242585,0.6648672931647455,0.5896684618314822,0.7523547938632787,0.43437224276306935,0.34782608695652173,0.3,0.43478260869565216,0.14814814814814817
2,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6294651817966896,0.6294651817966896,0.0,0.3634218921558155,0.42857142857142855,0.42857142857142855,0.0,0.16666666666666666
,,,,,,,,,,,,,,,,,,,,
3,Data\GeneratedSyntheticData-testing.csv,AIS,211.50455689430237,"max_rounds = 100, stopping_cond = 20, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.5621931260229133,0.5662847790507364,0.49590834697217673,0.5662847790507364,0.5621931260229133,0.5662847790507365,0.4959083469721768,0.5662847790507365,0.454113766144885,0.38803715211806106,0.26528556703778616,0.38803715211806106,0.2857142857142857,0.25,0.1111111111111111,0.25
3,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0030002593994140625,NA,0.585924713584288,0.5646481178396073,0.5114566284779051,0.5540098199672667,0.5859247135842881,0.5646481178396072,0.5114566284779051,0.5540098199672668,0.5502565983783564,0.5351782057853504,0.4954787398762882,0.527477398465546,0.3571428571428571,0.33333333333333337,0.2857142857142857,0.3225806451612903
