Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\GeneratedSyntheticData-testing.csv,AIS,16.86343741416931,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.7523191094619666,0.7170686456400742,0.6057513914656771,0.6057513914656771,0.7523191094619666,0.7170686456400742,0.6057513914656771,0.6057513914656771,0.723319496916588,0.6672848092813054,0.5059937594487832,0.5059937594487832,0.631578947368421,0.5882352941176471,0.3529411764705882,0.3529411764705882
1,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.004500389099121094,NA,0.7207792207792209,0.7309833024118738,0.5231910946196661,0.6595547309833024,0.7207792207792207,0.7309833024118739,0.5231910946196661,0.6595547309833024,0.7207499701564473,0.7309738846478072,0.5186681960445677,0.656069139756628,0.4848484848484849,0.5,0.2777777777777778,0.4102564102564102
1,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6716141001855288,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.6716141001855287,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377,0.5000000000000001,0.5263157894736842,0.3076923076923077,0.39999999999999997
,,,,,,,,,,,,,,,,,,,,
2,Data\GeneratedSyntheticData-testing.csv,AIS,14.038945198059082,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.6576819407008087,0.6239892183288409,0.6954177897574124,0.5619946091644205,0.6576819407008087,0.6239892183288409,0.6954177897574124,0.5619946091644205,0.6164851241966793,0.5243401706480785,0.6421829348658247,0.37438179051255344,0.375,0.36363636363636365,0.5,0.22222222222222224
2,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0030007362365722656,NA,0.5822102425876011,0.5916442048517521,0.6442048517520216,0.5539083557951483,0.582210242587601,0.5916442048517521,0.6442048517520216,0.5539083557951482,0.5615726857688301,0.5687267663569999,0.64008085742594,0.5395415843971626,0.25,0.26086956521739124,0.3076923076923077,0.2222222222222222
2,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6765498652291105,0.6859838274932615,0.5,0.5336927223719676,0.6765498652291105,0.6859838274932615,0.5,0.5336927223719676,0.6294651817966896,0.635855855098946,0.0,0.3634218921558155,0.42857142857142855,0.4615384615384615,0.0,0.16666666666666666
,,,,,,,,,,,,,,,,,,,,
3,Data\GeneratedSyntheticData-testing.csv,AIS,24.411752700805664,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.5343698854337151,0.5556464811783961,0.604746317512275,0.527823240589198,0.5343698854337152,0.5556464811783961,0.6047463175122749,0.527823240589198,0.3751704468066741,0.3837961815881402,0.47524651196599316,0.27438370161499687,0.21052631578947367,0.23529411764705882,0.3529411764705882,0.13333333333333336
3,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0035004615783691406,NA,0.5752864157119476,0.585924713584288,0.532733224222586,0.585924713584288,0.5752864157119476,0.5859247135842881,0.532733224222586,0.5859247135842881,0.5427697651889549,0.5502565983783564,0.5117282421175202,0.5502565983783564,0.3448275862068966,0.3571428571428571,0.30303030303030304,0.3571428571428571
3,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.5450081833060556,0.632569558101473,0.5384615384615384,0.5662847790507364,0.5450081833060556,0.632569558101473,0.5384615384615384,0.5662847790507365,0.37950782149960766,0.542769765188955,0.2773500981126146,0.38803715211806106,0.2222222222222222,0.42105263157894735,0.14285714285714288,0.25
,,,,,,,,,,,,,,,,,,,,
4,Data\GeneratedSyntheticData-testing.csv,AIS,19.962977170944214,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.7004103967168263,0.7058823529411764,0.6244870041039671,0.5766073871409029,0.7004103967168263,0.7058823529411764,0.6244870041039672,0.5766073871409029,0.6616316935788493,0.6416889479197478,0.5871398829359686,0.41517059272909906,0.5714285714285714,0.5833333333333334,0.45161290322580644,0.2857142857142857
4,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.002500295639038086,NA,0.6361149110807113,0.6956224350205198,0.5027359781121752,0.6600547195622435,0.6361149110807114,0.6956224350205198,0.5027359781121751,0.6600547195622435,0.5952387466610988,0.6939251744552997,0.5017070722245297,0.6469966392206304,0.4666666666666667,0.5641025641025642,0.35555555555555557,0.5142857142857143
4,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.66484268125855,0.7120383036935706,0.5588235294117647,0.6176470588235294,0.66484268125855,0.7120383036935705,0.5588235294117647,0.6176470588235294,0.5871398829359686,0.6698510359749523,0.3429971702850177,0.48507125007266594,0.5,0.5925925925925927,0.21052631578947367,0.38095238095238093
,,,,,,,,,,,,,,,,,,,,
5,Data\GeneratedSyntheticData-testing.csv,AIS,19.931471347808838,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = False",0.6545454545454545,0.6909090909090909,0.40909090909090906,0.5,0.6545454545454545,0.6909090909090909,0.4090909090909091,0.5,0.6030226891555273,0.6266795614405123,0.0,0.0,0.3333333333333333,0.5,0.0,0.0
5,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0030002593994140625,NA,0.6181818181818182,0.8,0.4545454545454546,0.7090909090909091,0.6181818181818182,0.8,0.4545454545454546,0.7090909090909091,0.5783990443849769,0.8,0.37658754867650873,0.7006490497453707,0.25000000000000006,0.4,0.0909090909090909,0.33333333333333337
5,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6818181818181818,0.5636363636363636,0.5,0.5,0.6818181818181819,0.5636363636363636,0.5,0.5,0.6208498574168682,0.43064433753916403,0.0,0.0,0.4444444444444445,0.20000000000000004,0.0,0.0
,,,,,,,,,,,,,,,,,,,,
,,AIS,,AVERAGE:,0.6598653573717541,0.6586991577995158,0.5878986823860483,0.5544353256720397,0.6598653573717541,0.6586991577995158,0.5878986823860481,0.5544353256720397,0.5959258901308637,0.5687579341755569,0.44211261784331396,0.3139859688610865,0.42437343358395985,0.45409982174688057,0.33149905123339657,0.19884220354808588
,,SMOTE,,AVERAGE:,0.6265145216682598,0.6808349311736868,0.5314821206503807,0.6337066858031782,0.6265145216682597,0.6808349311736868,0.5314821206503806,0.6337066858031782,0.5997460424320616,0.6687764847676926,0.5097543832978133,0.6187026022996296,0.3592685475444096,0.4164229972925625,0.266993006993007,0.36744810744810746
,,BASE,,AVERAGE:,0.6479666023594853,0.6581777070598873,0.5376388317564788,0.5687568229954433,0.6479666023594854,0.6581777070598873,0.5,0.5687568229954434,0.5627600842423053,0.5864712256690715,0.20934974022177064,0.35068137701025603,0.41904761904761906,0.44029989503673717,0.13221515326778485,0.23952380952380953
,,,,,,,,,,,,,,,,,,,,
Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\GeneratedSyntheticData-testing.csv,AIS,52.602662801742554,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.7421150278293135,0.7272727272727273,0.585343228200371,0.6057513914656771,0.7421150278293136,0.7272727272727273,0.585343228200371,0.6057513914656771,0.7155832370886187,0.674199862463242,0.4948716593053935,0.5059937594487832,0.6,0.625,0.3157894736842105,0.3529411764705882
1,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.003999948501586914,NA,0.7207792207792209,0.7309833024118738,0.5231910946196661,0.6595547309833024,0.7207792207792207,0.7309833024118739,0.5231910946196661,0.6595547309833024,0.7207499701564473,0.7309738846478072,0.5186681960445677,0.656069139756628,0.4848484848484849,0.5,0.2777777777777778,0.4102564102564102
1,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6716141001855288,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.6716141001855287,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377,0.5000000000000001,0.5263157894736842,0.3076923076923077,0.39999999999999997
,,,,,,,,,,,,,,,,,,,,
2,Data\GeneratedSyntheticData-testing.csv,AIS,119.38929533958435,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.6576819407008087,0.61455525606469,0.5,0.5619946091644205,0.6576819407008087,0.6145552560646901,0.5,0.5619946091644205,0.6164851241966793,0.519174131651165,0.0,0.37438179051255344,0.375,0.3333333333333333,0.0,0.22222222222222224
2,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0030002593994140625,NA,0.5444743935309974,0.6536388140161725,0.7870619946091645,0.40161725067385445,0.5444743935309972,0.6536388140161724,0.7870619946091644,0.40161725067385445,0.5319951765989315,0.6484482825963503,0.783935747408351,0.3071475584169756,0.21428571428571427,0.32,0.42857142857142855,0.07692307692307693
2,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6294651817966896,0.6294651817966896,0.0,0.3634218921558155,0.42857142857142855,0.42857142857142855,0.0,0.16666666666666666
,,,,,,,,,,,,,,,,,,,,
3,Data\GeneratedSyntheticData-testing.csv,AIS,96.17075061798096,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.5621931260229133,0.5556464811783961,0.527823240589198,0.527823240589198,0.5621931260229133,0.5556464811783961,0.527823240589198,0.527823240589198,0.454113766144885,0.3837961815881402,0.27438370161499687,0.27438370161499687,0.2857142857142857,0.23529411764705882,0.13333333333333336,0.13333333333333336
3,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.00400090217590332,NA,0.6031096563011458,0.613747954173486,0.5499181669394436,0.5540098199672667,0.6031096563011457,0.613747954173486,0.5499181669394435,0.5540098199672668,0.5862583511875564,0.5945744878515458,0.542769765188955,0.527477398465546,0.3870967741935484,0.4000000000000001,0.33333333333333337,0.3225806451612903
3,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.5450081833060556,0.5941080196399346,0.5384615384615384,0.5662847790507364,0.5450081833060556,0.5941080196399345,0.5384615384615384,0.5662847790507365,0.37950782149960766,0.4700524050597497,0.2773500981126146,0.38803715211806106,0.2222222222222222,0.33333333333333337,0.14285714285714288,0.25
,,,,,,,,,,,,,,,,,,,,
4,Data\GeneratedSyntheticData-testing.csv,AIS,80.89909100532532,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.6887824897400822,0.7058823529411764,0.6477428180574555,0.5766073871409029,0.688782489740082,0.7058823529411764,0.6477428180574556,0.5766073871409029,0.6533089510325999,0.6416889479197478,0.6032288860120084,0.41517059272909906,0.5517241379310345,0.5833333333333334,0.4827586206896552,0.2857142857142857
4,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0035004615783691406,NA,0.6073871409028728,0.6429548563611492,0.5259917920656634,0.6251709986320109,0.6073871409028728,0.6429548563611491,0.5259917920656635,0.6251709986320109,0.5917813771642473,0.6406221326384731,0.5230657809659415,0.617793611692794,0.4444444444444444,0.5,0.372093023255814,0.4736842105263158
4,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.66484268125855,0.7120383036935706,0.5588235294117647,0.6176470588235294,0.66484268125855,0.7120383036935705,0.5588235294117647,0.6176470588235294,0.5871398829359686,0.6698510359749523,0.3429971702850177,0.48507125007266594,0.5,0.5925925925925927,0.21052631578947367,0.38095238095238093
,,,,,,,,,,,,,,,,,,,,
5,Data\GeneratedSyntheticData-testing.csv,AIS,47.29373788833618,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.6545454545454545,0.6818181818181818,0.5454545454545454,0.5,0.6545454545454545,0.6818181818181819,0.5454545454545454,0.5,0.6030226891555273,0.6208498574168682,0.4221158824088691,0.0,0.3333333333333333,0.4444444444444445,0.16666666666666666,0.0
5,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0030002593994140625,NA,0.6909090909090909,0.5545454545454546,0.4545454545454546,0.6181818181818182,0.6909090909090909,0.5545454545454546,0.4545454545454546,0.6181818181818182,0.6849021164304496,0.5325752187591567,0.37658754867650873,0.5783990443849769,0.3,0.1739130434782609,0.0909090909090909,0.25000000000000006
5,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6818181818181818,0.5636363636363636,0.5,0.5,0.6818181818181819,0.5636363636363636,0.5,0.5,0.6208498574168682,0.43064433753916403,0.0,0.0,0.4444444444444445,0.20000000000000004,0.0,0.0
,,,,,,,,,,,,,,,,,,,,
,,AIS,,AVERAGE:,0.6610636077677144,0.6570349998550343,0.561272766460314,0.5544353256720397,0.6610636077677144,0.6570349998550343,0.561272766460314,0.5544353256720397,0.6085027535236621,0.5679417962078327,0.35892002586825356,0.3139859688610865,0.42915435139573066,0.444281045751634,0.21970961887477314,0.19884220354808588
,,SMOTE,,AVERAGE:,0.6333319004846655,0.6391740763016273,0.5681417005558784,0.5717069236876504,0.6333319004846655,0.6391740763016273,0.5681417005558784,0.5717069236876504,0.6231373983075263,0.6294388012986667,0.5490054076568649,0.5373773505433841,0.3661350835544384,0.3787826086956522,0.30053693076948884,0.30668886857341865
,,BASE,,AVERAGE:,0.6479666023594853,0.6485986069147495,0.5376388317564788,0.5687568229954433,0.6479666023594854,0.6485986069147495,0.5,0.5687568229954434,0.5627600842423053,0.5706496189827791,0.20934974022177064,0.35068137701025603,0.41904761904761906,0.41616262879420773,0.13221515326778485,0.23952380952380953
,,,,,,,,,,,,,,,,,,,,
