Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\GeneratedSyntheticData-testing.csv,AIS,1.5557715892791748,"max_rounds = 100, stopping_cond = 20, model = logisticRegression,K_folds = 5,scorer = 'f1',min_change = 0.001, use_lof = False",0.7319109461966604,0.7272727272727273,0.6261595547309833,0.6159554730983302,0.7319109461966604,0.7272727272727273,0.6261595547309833,0.6159554730983302,0.7077624204383747,0.674199862463242,0.5168765907047377,0.5114641212341614,0.5714285714285713,0.625,0.39999999999999997,0.37499999999999994
1,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.005000591278076172,NA,0.7662337662337664,0.7309833024118738,0.5231910946196661,0.6595547309833024,0.7662337662337663,0.7309833024118739,0.5231910946196661,0.6595547309833024,0.7644707871564383,0.7309738846478072,0.5186681960445677,0.656069139756628,0.5294117647058824,0.5,0.2777777777777778,0.4102564102564102
1,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6716141001855288,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.6716141001855287,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377,0.5000000000000001,0.5263157894736842,0.3076923076923077,0.39999999999999997
,,,,,,,,,,,,,,,,,,,,
2,Data\GeneratedSyntheticData-testing.csv,AIS,1.8628253936767578,"max_rounds = 100, stopping_cond = 20, model = logisticRegression,K_folds = 5,scorer = 'f1',min_change = 0.001, use_lof = False",0.6576819407008087,0.61455525606469,0.6954177897574124,0.5619946091644205,0.6576819407008087,0.6145552560646901,0.6954177897574124,0.5619946091644205,0.6164851241966793,0.519174131651165,0.6421829348658247,0.37438179051255344,0.375,0.3333333333333333,0.5,0.22222222222222224
2,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.003000497817993164,NA,0.6536388140161725,0.5916442048517521,0.6536388140161725,0.5013477088948787,0.6536388140161724,0.5916442048517521,0.6536388140161724,0.5013477088948787,0.6484482825963503,0.5687267663569999,0.6484482825963503,0.4526055147935819,0.32,0.26086956521739124,0.32,0.16666666666666666
2,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6294651817966896,0.6294651817966896,0.0,0.3634218921558155,0.42857142857142855,0.42857142857142855,0.0,0.16666666666666666
,,,,,,,,,,,,,,,,,,,,
3,Data\GeneratedSyntheticData-testing.csv,AIS,1.254220724105835,"max_rounds = 100, stopping_cond = 20, model = logisticRegression,K_folds = 5,scorer = 'f1',min_change = 0.001, use_lof = False",0.5237315875613747,0.5450081833060556,0.5237315875613747,0.5237315875613747,0.5237315875613748,0.5450081833060556,0.5237315875613748,0.5237315875613748,0.37078233740951155,0.37950782149960766,0.37078233740951155,0.37078233740951155,0.2,0.2222222222222222,0.2,0.2
3,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.003000497817993164,NA,0.5752864157119476,0.6202945990180032,0.5114566284779051,0.5752864157119476,0.5752864157119476,0.6202945990180033,0.5114566284779051,0.5752864157119476,0.5427697651889549,0.6148729460391532,0.4954787398762882,0.5427697651889549,0.3448275862068966,0.41176470588235287,0.2857142857142857,0.3448275862068966
3,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.5450081833060556,0.5834697217675942,0.5384615384615384,0.5662847790507364,0.5450081833060556,0.5834697217675942,0.5384615384615384,0.5662847790507365,0.37950782149960766,0.46480025803463915,0.2773500981126146,0.38803715211806106,0.2222222222222222,0.3157894736842105,0.14285714285714288,0.25
,,,,,,,,,,,,,,,,,,,,
4,Data\GeneratedSyntheticData-testing.csv,AIS,1.6242854595184326,"max_rounds = 100, stopping_cond = 20, model = logisticRegression,K_folds = 5,scorer = 'f1',min_change = 0.001, use_lof = False",0.6593707250341997,0.7058823529411764,0.6655266757865937,0.6532147742818059,0.6593707250341997,0.7058823529411764,0.6655266757865936,0.6532147742818057,0.6111145656191657,0.6416889479197478,0.6363369866681609,0.5801080139056326,0.5,0.5833333333333334,0.5161290322580646,0.48
