Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\GeneratedSyntheticData-testing.csv,AIS,117.73100662231445,"max_rounds = 100, stopping_cond = 50, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.004, use_lof = True, mutation_rate = 1.0",0.7272727272727273,0.7272727272727273,0.6057513914656771,0.6261595547309833,0.7272727272727273,0.7272727272727273,0.6057513914656771,0.6261595547309833,0.674199862463242,0.674199862463242,0.5059937594487832,0.5168765907047377,0.625,0.625,0.3529411764705882,0.39999999999999997
1,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0055005550384521484,NA,0.7764378478664193,0.7207792207792209,0.5231910946196661,0.7254174397031541,0.7764378478664193,0.7207792207792207,0.5231910946196661,0.7254174397031541,0.7753148860571065,0.7207499701564473,0.5186681960445677,0.7194617654267295,0.5454545454545455,0.4848484848484849,0.2777777777777778,0.4736842105263157
1,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6716141001855288,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.6716141001855287,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377,0.5000000000000001,0.5263157894736842,0.3076923076923077,0.39999999999999997
,,,,,,,,,,,,,,,,,,,,
2,Data\GeneratedSyntheticData-testing.csv,AIS,118.5526487827301,"max_rounds = 100, stopping_cond = 50, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.004, use_lof = True, mutation_rate = 1.0",0.6334231805929919,0.6334231805929919,0.6199460916442049,0.5053908355795148,0.633423180592992,0.633423180592992,0.6199460916442049,0.5053908355795148,0.529455805648376,0.529455805648376,0.5896684618314822,0.3521210279560722,0.4,0.4,0.3,0.13333333333333333
2,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0030007362365722656,NA,0.7439353099730459,0.5296495956873315,0.6536388140161725,0.5013477088948787,0.7439353099730459,0.5296495956873315,0.6536388140161724,0.5013477088948787,0.7433442317663261,0.47013217158593584,0.6484482825963503,0.4526055147935819,0.4166666666666667,0.19047619047619047,0.32,0.16666666666666666
2,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6294651817966896,0.6294651817966896,0.0,0.3634218921558155,0.42857142857142855,0.42857142857142855,0.0,0.16666666666666666
,,,,,,,,,,,,,,,,,,,,
3,Data\GeneratedSyntheticData-testing.csv,AIS,217.84194207191467,"max_rounds = 100, stopping_cond = 50, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.004, use_lof = True, mutation_rate = 1.0",0.5662847790507364,0.5662847790507364,0.527823240589198,0.5662847790507364,0.5662847790507365,0.5662847790507365,0.527823240589198,0.5662847790507365,0.38803715211806106,0.38803715211806106,0.27438370161499687,0.38803715211806106,0.25,0.25,0.13333333333333336,0.25
3,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.003500223159790039,NA,0.5261865793780688,0.5752864157119476,0.5499181669394436,0.5924713584288053,0.5261865793780687,0.5752864157119476,0.5499181669394435,0.5924713584288053,0.4786779392849659,0.5427697651889549,0.542769765188955,0.5778225394274409,0.27586206896551724,0.3448275862068966,0.33333333333333337,0.37499999999999994
