Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\GeneratedSyntheticData-testing.csv,AIS,48.832504749298096,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.674199862463242,0.674199862463242,0.5222329678670935,0.5222329678670935,0.625,0.625,0.42857142857142855,0.42857142857142855
1,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.004499912261962891,NA,0.7662337662337664,0.7207792207792209,0.5231910946196661,0.7254174397031541,0.7662337662337663,0.7207792207792207,0.5231910946196661,0.7254174397031541,0.7644707871564383,0.7207499701564473,0.5186681960445677,0.7194617654267295,0.5294117647058824,0.4848484848484849,0.2777777777777778,0.4736842105263157
1,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6716141001855288,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.6716141001855287,0.6966604823747681,0.5909090909090909,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377,0.5000000000000001,0.5263157894736842,0.3076923076923077,0.39999999999999997
,,,,,,,,,,,,,,,,,,,,
2,Data\GeneratedSyntheticData-testing.csv,AIS,34.99609661102295,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.6334231805929919,0.6334231805929919,0.6954177897574124,0.6239892183288409,0.633423180592992,0.633423180592992,0.6954177897574124,0.6239892183288409,0.529455805648376,0.529455805648376,0.6421829348658247,0.5243401706480785,0.4,0.4,0.5,0.36363636363636365
2,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.0035004615783691406,NA,0.49191374663072773,0.5202156334231806,0.871967654986523,0.46361185983827496,0.49191374663072773,0.5202156334231807,0.871967654986523,0.4636118598382749,0.4466104750697732,0.4643634602125721,0.8718416236402058,0.42812195657721647,0.16,0.18181818181818182,0.631578947368421,0.14285714285714285
2,Data\GeneratedSyntheticData-testing.csv,BASE,NA,NA,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6765498652291105,0.6765498652291105,0.5,0.5336927223719676,0.6294651817966896,0.6294651817966896,0.0,0.3634218921558155,0.42857142857142855,0.42857142857142855,0.0,0.16666666666666666
,,,,,,,,,,,,,,,,,,,,
3,Data\GeneratedSyntheticData-testing.csv,AIS,68.5694432258606,"max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.5556464811783961,0.5556464811783961,0.5728314238952538,0.5662847790507364,0.5556464811783961,0.5556464811783961,0.5728314238952537,0.5662847790507365,0.3837961815881402,0.3837961815881402,0.4594880806241651,0.38803715211806106,0.23529411764705882,0.23529411764705882,0.3,0.25
3,Data\GeneratedSyntheticData-testing.csv,SMOTE,0.003000020980834961,NA,0.6243862520458267,0.613747954173486,0.5114566284779051,0.6243862520458267,0.6243862520458265,0.613747954173486,0.5114566284779051,0.6243862520458265,0.6027759026957729,0.5945744878515458,0.4954787398762882,0.6027759026957729,0.41379310344827586,0.4000000000000001,0.2857142857142857,0.41379310344827586
