Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\hcv_data_split.csv,AIS,207.23859691619873," max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.9906542056074766,0.9547313084112149,0.5578271028037383,0.7140771028037384,0.9906542056074766,0.954731308411215,0.5578271028037383,0.7140771028037383,0.9906101206907555,0.9545757975514716,0.35189739371148315,0.6583397412835345,0.9411764705882353,0.8823529411764706,0.21052631578947367,0.5833333333333334
1,Data\hcv_data_split.csv,SMOTE,0.005999326705932617,NA,0.9953271028037383,0.9375,0.9188084112149533,0.8703271028037383,0.9953271028037383,0.9375,0.9188084112149533,0.8703271028037383,0.9953161335010483,0.9354143466934853,0.9177634333673184,0.8619690564084116,0.9696969696969697,0.9333333333333333,0.823529411764706,0.8275862068965517
1,Data\hcv_data_split.csv,BASE,NA,NA,1.0,0.892231308411215,0.9015771028037383,0.6515771028037383,1.0,0.892231308411215,0.9015771028037383,0.6515771028037383,1.0,0.8886617051320622,0.8971658386586477,0.55639863340265,1.0,0.8125,0.8666666666666666,0.45454545454545453
,,,,,,,,,,,,,,,,,,,,
2,Data\hcv_data_split.csv,AIS,156.3367304801941," max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.941150442477876,0.932300884955752,0.7911504424778761,0.945575221238938,0.941150442477876,0.9323008849557521,0.7911504424778761,0.9455752212389381,0.9402503903004651,0.9317411619759824,0.7677112288962897,0.9444762560435749,0.8571428571428572,0.7826086956521738,0.6666666666666665,0.9
2,Data\hcv_data_split.csv,SMOTE,0.005501270294189453,NA,0.9190265486725664,0.945575221238938,0.9101769911504425,0.941150442477876,0.9190265486725664,0.9455752212389381,0.9101769911504425,0.941150442477876,0.9188295748454223,0.9444762560435749,0.9101200932134157,0.9402503903004651,0.6923076923076923,0.9,0.6428571428571429,0.8571428571428572
2,Data\hcv_data_split.csv,BASE,NA,NA,0.95,0.95,0.891150442477876,0.85,0.95,0.95,0.8911504424778761,0.85,0.9486832980505138,0.9486832980505138,0.8864765693263426,0.8366600265340756,0.9473684210526316,0.9473684210526316,0.8000000000000002,0.8235294117647058
,,,,,,,,,,,,,,,,,,,,
3,Data\hcv_data_split.csv,AIS,142.2867841720581," max_rounds = 100, stopping_cond = 25, model = randomForest,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.8704217536071033,0.8468368479467259,0.8057713651498336,0.7211431742508324,0.8704217536071033,0.8468368479467259,0.8057713651498335,0.7211431742508324,0.8703399772018112,0.8460917528034665,0.7995559255833236,0.6762171990810079,0.6382978723404256,0.5769230769230769,0.6153846153846153,0.5714285714285714
3,Data\hcv_data_split.csv,SMOTE,0.0055005550384521484,NA,0.9328523862375139,0.892896781354051,0.9433962264150944,0.9517203107658158,0.9328523862375139,0.892896781354051,0.9433962264150944,0.9517203107658158,0.9328152465138774,0.8901981971385244,0.9416965821485117,0.951661902861773,0.7804878048780487,0.7999999999999999,0.7391304347826086,0.8648648648648648
3,Data\hcv_data_split.csv,BASE,NA,NA,0.908157602663707,0.8881798002219756,0.8587680355160932,0.7647058823529411,0.908157602663707,0.8881798002219756,0.8587680355160932,0.7647058823529411,0.9077909179549114,0.8858237323501061,0.8536011071727131,0.7276068751089989,0.7692307692307693,0.7777777777777778,0.7428571428571428,0.6923076923076924
